#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
4.0	332.37312	8.67496443229	448.08861	29.3862476781	519.97965	19.7245218657	502.07712	30.1174796822
4.1	312.52899	15.3745519929	393.52758	25.7538734307	471.19662	32.7303668898	475.25289	16.6848269523
4.2	298.70037	16.0219333105	352.61442	6.90505912171	436.61208	55.9036464492	493.70772	18.8710607734
4.3	269.41386	4.81319255066	352.33038	1.03152524895	402.16521	25.0380805656	479.33562	13.2769549043
4.4	265.5105	31.5756562718	363.81951	0.944840155057	392.04114	18.7914769617	462.4497	19.3555516047
4.5	251.68185	14.3932212455	333.78375	36.0118348112	368.45661	17.9467200659	426.9606	38.5994321771
4.6	295.12431	11.0803066632	329.54883	28.7472539417	342.05802	38.1701011484	421.76355	32.4592408422
4.7	281.37066	13.0956315292	327.66768	18.8576912939	330.34062	26.8537874075	392.67525	15.9959538217
4.8	298.35321	23.3454690474	323.91477	3.7966119293	328.98846	25.7719708102	412.95969	24.7533104029
4.9	273.67515	11.8076359542	333.91101	24.7748869554	321.15903	7.86741694686	412.66029	39.3178958321
5.0	257.74104	8.09284706381	317.68512	9.20276703437	321.66015	24.3815545625	403.44615	27.6116460318
5.1	225.59793	4.5522872123	317.57514	13.138780659	303.99243	46.4525508625	400.17225	3.50574301957
5.2	227.57784	12.08909114	279.07881	14.5914339391	294.08667	19.3039936965	374.14158	22.7091769877
5.3	188.46228	10.8001966105	277.67091	14.7824459408	244.79148	36.6141480608	329.3574	8.74615086764
5.4	206.13318	16.0308910268	233.32545	13.4322032164	254.628	35.4079942841	321.58587	25.1530619492
5.5	179.15229	22.0067036655	224.56038	18.4763696187	234.83052	17.0393490406	295.46625	20.8799736347
5.6	181.51785	11.520239769	229.21524	7.89907910812	232.4331	15.2405533504	263.20749	21.7457205697
5.7	168.96438	18.8010370186	193.19961	8.39244094799	223.28484	17.7674172615	241.41909	21.3557646124
5.8	161.25057	6.49930070306	206.53755	6.72942610528	210.10572	32.5059783867	225.43449	26.2961945185
5.9	153.15612	19.6922512032	200.70411	6.72386957682	200.41518	35.0988332529	233.37372	14.632302736
6.0	153.69057	34.4265796413	189.90534	17.834228175	205.91181	6.40113993882	218.88717	14.7065174329
6.1	156.59694	17.9556876071	189.82179	3.70691617243	198.01749	26.2849747477	210.49335	15.192956508
6.2	154.47243	25.2268104314	179.91771	15.2041343037	190.41309	26.740875627	196.36092	7.50467036136
6.3	170.63772	24.7668962959	179.78568	20.7090718036	167.8965	19.8585849103	192.35607	8.4556914666
6.4	173.87688	26.0030456999	171.16149	16.0772783347	183.91098	27.7637233388	202.92	12.7277827811
6.5	174.42246	18.5458550138	186.05706	32.5810266089	173.68419	33.7036122847	208.27767	10.1787576349
6.6	183.46113	41.5200644242	184.44108	16.0450930694	172.72215	27.05993222	209.60556	3.28299710914
6.7	192.73827	27.4056944663	200.98965	11.2730544952	191.31507	51.1889193174	211.1562	5.2022044927
6.8	225.47763	48.253921402	210.53697	33.5810276923	208.57083	33.709108842	240.96249	2.59653642713
6.9	243.91713	23.4888444095	259.03374	14.3280864386	216.5091	54.1985389548	274.683	9.84516468844
7.0	316.69371	10.3124944354	310.60281	33.7189687999	263.49339	48.3096573073	272.6118	7.27277244561
7.1	360.21651	55.314344277	358.11918	36.5202615523	310.72431	61.0348348612	311.10054	33.0688134046
7.2	579.44577	71.2845482533	447.97503	62.2124663873	341.16147	58.8681241371	378.162	16.0592692826
7.3	853.25835	91.442994254	615.56241	19.8196457214	445.56936	75.9504670108	490.58139	19.1412279639
7.4	1294.17735	150.572069868	895.29411	39.1762582199	647.63598	75.5981190352	664.50924	35.3544342139
7.5	1881.56469	168.818360728	1311.55746	84.7840131218	937.20108	122.332550974	947.72991	51.0648922808
7.6	2269.95747	281.026842069	1790.84313	97.7925124485	1423.56699	147.200008877	1407.3207	37.8482763792
7.7	2274.37497	254.467152969	2211.32388	136.676797939	1911.75834	170.484748102	1798.1658	40.492516201
7.8	2103.97647	283.037309799	2410.36509	25.3033692637	2237.0598	206.474266655	2169.71439	2.20595463131
7.9	1728.44883	255.667335447	2374.25445	48.9800911854	2342.65872	159.168228355	2411.87055	86.8680472456
8.0	1329.68148	211.072908098	2257.93206	42.8026781665	2298.40215	154.462387529	2431.04229	112.916817866
8.1	910.26069	174.426366288	1818.19077	51.3184461215	2023.31256	152.364941849	2158.53381	102.016691017
8.2	626.19198	105.814260451	1413.12558	32.9899271248	1637.09079	117.586360569	1793.50926	87.9394404352
8.3	461.32395	97.7206349242	1079.71332	43.828198442	1262.38746	112.841859949	1463.6799	88.877024709
8.4	324.91716	66.056987557	850.81407	31.4355309986	999.0963	69.0726259235	1077.3138	78.8125766119
8.5	250.59627	51.345792542	648.38082	41.0556172857	697.05609	69.9721304573	837.06876	67.7563132285
8.6	174.52149	35.100267676	499.20243	20.5371822996	564.83805	81.665605059	618.24153	65.0914544472
8.7	145.89771	15.581998988	377.27586	8.23961630448	410.61927	43.5218151596	468.04572	50.5793451159
8.8	105.59049	19.2369477021	277.16463	15.0980924439	323.67663	24.4764225961	378.52101	38.6142525155
8.9	100.88877	7.5085114217	263.44872	21.2010849045	269.98998	41.3308865254	281.18931	17.5411559578
9.0	67.57617	11.8294755948	189.21345	24.7741592818	227.46957	29.1473395932	251.68395	21.738947741
9.1	53.85825	11.1743119983	141.47574	11.2973400448	165.53673	10.9799456908	182.08587	19.1142682097
9.2	53.65122	10.041804124	132.17004	6.18226665217	144.63873	23.0758761634	146.87559	10.4191014495
9.3	41.99301	1.82683345399	92.51562	4.51833786405	125.36541	10.7955589199	142.70847	5.22186034987
9.4	47.63628	9.54498187808	85.72575	6.69125027118	100.54137	3.26314791279	116.9667	8.11621849499
9.5	29.66991	1.16655652038	81.54111	0.600515333187	96.67311	8.427770307	104.34018	9.72706149309
9.6	42.08214	7.43374628585	75.5382	10.2931435254	88.53663	11.7965863779	108.87111	18.7112913021
9.7	38.20029	4.27963413313	57.5085	16.2284364233	82.21239	4.31556356136	87.32757	2.71999869394
9.8	33.25077	1.32158233434	53.45946	8.04227053666	71.96766	3.20509796469	71.94015	11.8222528237
9.9	20.6565	6.16233680096	67.73622	3.84618653746	59.65485	3.27544553356	71.07528	6.52711903854
10.0	149.74047	15.8852245697	229.42221	7.75628997592	278.78079	4.27992000862	304.9422	9.16711582243
10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
