#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
5.7	153.90861	5.80099511355	169.38027	7.18656817538	206.2344	12.3922560991	173.07993	26.3344859687
5.8	142.00017	1.85220026287	151.45914	6.26601311372	192.6219	17.5102131365	167.73864	33.4481284182
5.9	145.88673	15.75967977	156.62898	19.9493244806	181.39953	7.52113596505	167.20032	32.7821412373
6.0	129.77907	15.5421909268	162.68223	8.39388014368	165.05346	15.8436658626	158.70411	22.4889075991
6.1	123.99813	11.4713644243	131.60763	22.7078437641	152.83248	10.3795675742	162.27858	13.7399366618
6.2	138.486	17.9751957842	150.73398	19.7065255624	151.87896	31.7849213233	146.17707	30.5518098865
6.3	149.955	21.2167582743	141.3081	15.5279173871	165.98832	14.0165542044	174.68274	18.9472529208
6.4	147.61305	5.7239746221	134.75259	31.9230516839	168.57699	22.9071838556	148.67022	16.5831531789
6.5	162.98295	1.20138800902	160.04076	27.3996515342	168.55131	13.5877485683	159.89727	17.1782665789
6.6	178.51551	21.5312368475	156.62187	13.7826914127	191.48457	11.0920762547	149.07108	26.7480742676
6.7	183.99438	13.38374478	176.40726	34.643082681	188.28039	5.87218728286	172.58409	33.0497641929
6.8	190.30662	24.1028896797	192.64305	35.8412583624	237.24162	58.667520238	193.94502	26.2796742133
6.9	231.55917	31.4948257598	225.93612	35.9065458234	234.51576	15.3856095643	211.68198	31.8727836398
7.0	262.78554	42.9837090833	248.76804	20.0611037139	298.19742	23.4270933746	256.78644	29.7532557568
7.1	339.20064	46.4777806732	296.84943	63.5185324965	318.07278	38.5015960322	283.58775	28.5168813936
7.2	474.38835	56.3937869438	408.42864	72.5685185522	370.20906	37.0748784616	373.87188	57.4059720144
7.3	750.80256	119.268858578	588.58191	104.624580548	519.09561	60.1769569964	484.08237	24.1173642477
7.4	1202.90091	124.436945749	930.34308	118.67098757	739.28913	105.515757257	687.44622	46.729316349
7.5	1746.68589	58.1826267013	1417.24863	113.27108925	1163.30619	122.119750482	1004.05593	49.4994435679
7.6	2138.88216	42.3525811165	1960.44573	90.3832763334	1617.2514	141.483137151	1467.18882	95.042596569
7.7	2245.45227	28.2276494392	2312.0379	100.296186901	1991.09559	128.75893247	1913.36574	47.9913255471
7.8	2047.21407	91.2861284674	2395.46628	89.9855062365	2235.92154	86.3235237664	2236.64394	91.5345194827
7.9	1713.28764	37.0341367362	2164.01382	55.1501098452	2183.94441	96.4688632234	2343.6696	131.403560207
8.0	1324.47324	74.9051251204	1827.07521	98.087502812	1955.91567	77.0246215355	2228.74908	152.208732241
8.1	927.60372	34.1177500984	1359.91089	73.4719006353	1588.42743	60.410481744	1849.79193	128.76938994
8.2	675.22035	26.2268520974	985.90065	35.2873359811	1233.85818	51.8444521724	1496.72598	75.5659850884
8.3	466.13571	34.5359482093	698.18997	46.0630075318	884.7069	20.3990937923	1108.60632	36.032950974
8.4	360.58287	18.1702233132	539.87235	37.4474972198	608.78529	31.0771714017	813.14106	56.3735955785
8.5	282.0303	13.6302696624	391.86153	30.1889049079	469.22337	40.5755054944	613.73127	37.0837721078
8.6	204.43374	8.99417669045	305.7243	42.5019435165	339.1797	25.4834307266	450.41295	11.665753372
8.7	158.84232	10.9571667804	207.00393	12.2799754772	266.16312	8.76126238292	316.75188	20.7489617949
8.8	123.86007	20.467969389	166.66587	12.6164929897	176.55972	20.0344591998	227.81505	18.3222950352
8.9	103.14978	26.243734211	134.15145	5.46316330842	156.09093	14.6537699759	189.47034	12.3724654609
9.0	79.16391	13.3344158769	109.23882	10.1876294541	124.44429	8.41012208793	147.07092	17.2620905804
9.1	54.78828	5.21596858793	86.43897	4.52887680937	90.77865	11.7316158761	126.67578	11.5380244849
9.2	53.49216	5.41732471888	69.55263	4.97229433366	75.12129	2.6701896509	92.46399	14.9280929397
9.3	41.46816	12.814199432	59.96283	18.9387682818	71.62407	10.3301170146	79.03953	2.87543033436
9.4	45.05592	7.34684059931	51.21471	15.9294522405	69.01401	16.5866145869	69.2565	14.1483987311
9.5	43.15272	9.4818696635	40.34463	7.07352270235	54.54342	19.1424133054	63.39432	9.05955421564
9.6	46.83615	3.81349312753	46.28844	0.891808627025	49.87416	14.6835625489	50.55237	3.0123328331
9.7	34.61511	1.77279630252	39.03582	4.19984194331	39.52095	9.32898075702	57.11364	4.20248902012
9.8	38.3901	5.44139381955	35.01414	11.6415400278	38.59143	7.7163300108	43.46502	2.5678350378
9.9	34.87557	9.05541964058	36.77136	5.70966237655	35.16834	9.08069124904	35.32449	7.15595713459
10.0	145.47321	6.17925549017	156.65145	15.8686075664	181.10055	11.3744558546	207.07905	5.94683807192
10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
