#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
11.8	3.33333333333	0.471404520791	3.33333333333	0.471404520791	4.33333333333	1.24721912892	3.33333333333	2.86744175568
11.9	5.66666666667	1.6996731712	2.0	0.816496580928	3.66666666667	1.6996731712	2.66666666667	2.05480466766
12.0	2.66666666667	1.24721912892	2.33333333333	1.6996731712	3.0	0.816496580928	2.33333333333	0.471404520791
12.1	2.0	0.816496580928	2.66666666667	1.24721912892	3.33333333333	2.05480466766	3.66666666667	2.62466929134
12.2	4.0	2.16024689947	2.33333333333	2.05480466766	4.0	0.816496580928	4.0	1.41421356237
12.3	1.66666666667	0.471404520791	2.0	0.0	3.0	1.41421356237	1.66666666667	0.471404520791
12.4	4.0	0.816496580928	1.66666666667	0.471404520791	2.33333333333	1.24721912892	3.0	0.816496580928
12.5	5.0	2.16024689947	1.66666666667	0.471404520791	3.0	2.94392028878	3.66666666667	1.24721912892
12.6	3.66666666667	1.88561808316	2.33333333333	0.942809041582	2.33333333333	1.24721912892	3.66666666667	0.471404520791
12.7	2.66666666667	2.05480466766	2.0	2.16024689947	2.33333333333	1.24721912892	3.33333333333	0.942809041582
12.8	1.33333333333	0.942809041582	2.66666666667	1.6996731712	2.33333333333	2.05480466766	3.33333333333	1.6996731712
12.9	1.33333333333	0.942809041582	2.66666666667	0.471404520791	1.33333333333	1.88561808316	2.66666666667	1.24721912892
13.0	2.33333333333	0.471404520791	4.66666666667	3.09120616517	5.0	2.94392028878	2.33333333333	1.24721912892
13.1	1.0	0.816496580928	1.66666666667	1.24721912892	1.0	1.41421356237	3.33333333333	1.24721912892
13.2	2.0	2.16024689947	3.0	2.44948974278	2.0	0.816496580928	3.0	0.816496580928
